area,time_period_min,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,pole_id
Bankers Hill,26220609.0,0.1322424376817493,0.2449585442067326,0.3164686982032997,0.3448176258457056,0.3578090235381902,0.3379366148478467,0.2984068053859721,0.26979673758206363,0.2721524496705656,0.2989898574318864,0.0,483
Barrio Logan,547932.0,0.06644230769230769,0.1148144101269101,0.15240392709142708,0.17913817663817663,0.18810792217042216,0.16875748672623675,0.12946103664853664,0.10521003302253301,0.10020424598549599,0.0966769862082362,0.0,22
College,478026.0,0.36212197293447296,0.4770776353276353,0.46932656695156694,0.5115776353276353,0.5119779202279201,0.5495122863247862,0.5165080128205128,0.5166467236467237,0.5249718660968661,0.5166769943019943,0.0,5
Columbia,11388381.0,0.3589318661492375,0.44740263506577854,0.42918226679026306,0.4438809284397519,0.44892166682378076,0.45086981654307023,0.4447148444046422,0.4408665433320765,0.42227908444360646,0.43542289231397696,0.0,136
Core,8900383.0,0.2198884403512568,0.2873009924176854,0.2918056400789787,0.30663394483212525,0.31003280072306977,0.31124229146381044,0.29914334947167226,0.293287809017635,0.28868555370731,0.3079264432092756,0.0,158
Core - Columbia,2880599.0,0.30257404439696106,0.39729448599240264,0.36785896587979927,0.37698031135531135,0.3808820673924841,0.38786992521367514,0.36815967982634645,0.34321748660290324,0.29468756359381365,0.314656190645774,0.0,42
Cortez,2374856.0,0.13218609604426915,0.25909006547227703,0.2983694081470524,0.2974632232084155,0.28964974728796844,0.2889779031065089,0.26200411256300676,0.2173104830977427,0.16575813609467455,0.1956624787694499,0.0,52
Cortez Hill,14654309.0,0.1755373041310541,0.27411159720922496,0.3285500271643063,0.34612951525360286,0.34185046114334433,0.31914244624326743,0.2900478137282425,0.2574627920487866,0.22890207137583965,0.22761291383326057,0.0,274
East Village,58269720.0,0.19297431338343174,0.30780148613519687,0.3659126916539356,0.39810344860956276,0.4122471628249859,0.4130458061938285,0.3974300147009235,0.3821115513216207,0.3738855910734685,0.3820655421191351,0.0,828
Five Points,4392640.0,0.03595804080179079,0.06626751373626373,0.10869546194546194,0.32069594525844525,0.5717878637566137,0.5931619607244607,0.49659710775335775,0.38601177757427757,0.35276009869759867,0.41163836741961735,0.0,70
Gaslamp,17427123.0,0.06116496719234551,0.17687210845120138,0.3734569805297128,0.4245288114867761,0.3907124910180773,0.4052031332728235,0.39719511887653475,0.3989435958891158,0.39719419310818643,0.4054537919471548,0.0,226
Golden Hill,426917.0,0.11471739969135804,0.15508124109686608,0.1757582502374169,0.220863603988604,0.26381707027540363,0.23303337191358023,0.19427921711775878,0.16347941892212728,0.16658112238841405,0.1895841494539411,0.0,12
Hillcrest,43537044.0,0.05365742287617288,0.1900422262922263,0.3968910084535084,0.4836971724471725,0.4840036774411774,0.4866159411471911,0.45691042003542004,0.4188301144551144,0.39633505071005065,0.4110184961747462,0.0,518
Little Italy,23092297.0,0.23679261923505343,0.37643781930788506,0.44704829314204314,0.49478073187777133,0.5173795867874815,0.5166433243900348,0.49723062999378786,0.48101035842812156,0.5018479860173939,0.5035215743686138,0.0,266
Marina,20650753.0,0.24417503147154307,0.3548088642085735,0.45353015056648777,0.49759156976744184,0.49183550735440273,0.5112172820181542,0.5014390114622673,0.48237837904989067,0.48021950573113353,0.48410703223348567,0.0,215
Midtown,45088.0,0.0031291971916971918,0.00800309065934066,0.0165254884004884,0.023399343711843712,0.02251316391941392,0.022794057794057795,0.020847323972323972,0.018359343203093202,0.016417633292633294,0.019038970288970287,0.0,14
Mission Hills,7316649.0,0.1063013043091168,0.2425130923763736,0.3440102020375458,0.4040120621565934,0.4654338131486569,0.4358528248371999,0.36721254801332925,0.3325482995014245,0.3702033571174196,0.4042207691035816,0.0,112
North Park,4494483.0,0.12346159481048721,0.2356191058999603,0.3076733180965776,0.34669831223628694,0.3761339775145155,0.3608229087778138,0.32091796945436185,0.28981975098272567,0.2951857712142522,0.31886282186519527,0.0,79
Point Loma,256572.0,0.029188034188034187,0.10690660612535613,0.18608989197530865,0.23291562796771131,0.3183177528490028,0.32999094848053184,0.27881855413105416,0.22617788461538463,0.24867551044634378,0.325074044396961,0.0,6
Talmadge,803726.0,0.027597206034706036,0.08422626370543038,0.15320464257964259,0.17615568073901405,0.17952816088232756,0.16275864952948285,0.14141217193300523,0.13818076599326598,0.12370534943451612,0.10917311469394801,0.0,33
University Heights,5565403.0,0.14732751784298176,0.23484251549328874,0.2754085620612683,0.3299317946515111,0.3624206978588422,0.3597000837078157,0.3225522806708374,0.29969705480659087,0.32468236004640644,0.3682393364319911,0.0,97
